%time,field.header.seq,field.header.stamp,field.header.frame_id,field.robot_pos.x,field.robot_pos.y,field.robot_pos.z,field.goal.x,field.goal.y,field.goal.z,field.dist_from_goal,field.collision.x,field.collision.y,field.collision.z,field.iteration
301473000000,0,301473000000,,-0.0015650221,-8.30001354851E-05,0,7.3299999237,1.75,0,7.5375480652,-100000,-100000,0,1
301473000000,1,301473000000,,-0.0015650221,-8.30001354851E-05,0,7.3299999237,1.75,0,7.5375480652,-100000,-100000,0,1
301574000000,2,301574000000,,-0.0015710649,-8.35505594118E-05,0,7.3299999237,1.75,0,7.5375542641,-100000,-100000,0,1
301673000000,3,301673000000,,-0.0015793739,-8.43073381669E-05,0,7.3299999237,1.75,0,7.5375623703,-100000,-100000,0,1
301773000000,4,301773000000,,-0.0015861723,-8.49264741662E-05,0,7.3299999237,1.75,0,7.537569046,-100000,-100000,0,1
301875000000,5,301875000000,,-0.0015937262,-8.56143538609E-05,0,7.3299999237,1.75,0,7.5375766754,-100000,-100000,0,1
301973000000,6,301973000000,,-0.0002738269,-9.64136788509E-05,0,7.3299999237,1.75,0,7.536295414,-100000,-100000,0,1
302073000000,7,302073000000,,0.0182274009,-0.0004121278,0,7.3299999237,1.75,0,7.5183744431,-100000,-100000,0,1
302173000000,8,302173000000,,0.0472772565,-0.0006985925,0,7.3299999237,1.75,0,7.4901928902,-100000,-100000,0,1
302273000000,9,302273000000,,0.0994857288,7.37473742742E-06,0,7.3299999237,1.75,0,7.4392747879,-100000,-100000,0,1
302373000000,10,302373000000,,0.1393592229,0.0014677466,0,7.3299999237,1.75,0,7.4001812935,-100000,-100000,0,1
302474000000,11,302474000000,,0.1942089438,0.0042870329,0,7.3299999237,1.75,0,7.3462252617,-100000,-100000,0,1
302573000000,12,302573000000,,0.2538189123,0.008349785,0,7.3299999237,1.75,0,7.2873644829,-100000,-100000,0,1
302673000000,13,302673000000,,0.2836476138,0.0106908166,0,7.3299999237,1.75,0,7.2578425407,-100000,-100000,0,1
302773000000,14,302773000000,,0.3533683416,0.0165518983,0,7.3299999237,1.75,0,7.1887574196,-100000,-100000,0,1
302873000000,15,302873000000,,0.403174731,0.0208997703,0,7.3299999237,1.75,0,7.1393761635,-100000,-100000,0,1
302975000000,16,302975000000,,0.4529880208,0.0251858595,0,7.3299999237,1.75,0,7.0900120735,-100000,-100000,0,1
303073000000,17,303073000000,,0.4978150426,0.0289964052,0,7.3299999237,1.75,0,7.0456085205,-100000,-100000,0,1
303173000000,18,303173000000,,0.542635093,0.0328458694,0,7.3299999237,1.75,0,7.0012097359,-100000,-100000,0,1
303278000000,19,303278000000,,0.5925457607,0.0374535603,0,7.3299999237,1.75,0,6.9516983032,-100000,-100000,0,1
303373000000,20,303373000000,,0.6373245335,0.041920833,0,7.3299999237,1.75,0,6.9072022438,-100000,-100000,0,1
303473000000,21,303473000000,,0.6870914582,0.0468776969,0,7.3299999237,1.75,0,6.8577594757,-100000,-100000,0,1
303573000000,22,303573000000,,0.7518398855,0.052880632,0,7.3299999237,1.75,0,6.7935562134,-100000,-100000,0,1
303674000000,23,303674000000,,0.7916963644,0.056378462,0,7.3299999237,1.75,0,6.7540926933,-100000,-100000,0,1
303773000000,24,303773000000,,0.8365531805,0.0601628375,0,7.3299999237,1.75,0,6.7097244263,-100000,-100000,0,1
303876000000,25,303876000000,,0.8865399972,0.0642571901,0,7.3299999237,1.75,0,6.660323143,-100000,-100000,0,1
303973000000,26,303973000000,,0.9515961282,0.0704122501,0,7.3299999237,1.75,0,6.5958356857,-100000,-100000,0,1
304073000000,27,304073000000,,0.9958736249,0.0762250635,0,7.3299999237,1.75,0,6.5515403748,-100000,-100000,0,1
304173000000,28,304173000000,,1.0495641758,0.085663579,0,7.3299999237,1.75,0,6.4972214699,-100000,-100000,0,1
304274000000,29,304274000000,,1.0887136074,0.0939024061,0,7.3299999237,1.75,0,6.4572682381,-100000,-100000,0,1
304373000000,30,304373000000,,1.137501498,0.1047977572,0,7.3299999237,1.75,0,6.4073181152,-100000,-100000,0,1
304473000000,31,304473000000,,1.1764902909,0.113779729,0,7.3299999237,1.75,0,6.3673305512,-100000,-100000,0,1
304573000000,32,304573000000,,1.2299005625,0.1265705318,0,7.3299999237,1.75,0,6.3124275208,-100000,-100000,0,1
304673000000,33,304673000000,,1.2929247378,0.1422195615,0,7.3299999237,1.75,0,6.2474980354,-100000,-100000,0,1
304773000000,34,304773000000,,1.3317783166,0.1517788029,0,7.3299999237,1.75,0,6.2074933052,-100000,-100000,0,1
304874000000,35,304874000000,,1.3706385741,0.1612397419,0,7.3299999237,1.75,0,6.1675071716,-100000,-100000,0,1
304974000000,36,304974000000,,1.4241289201,0.1741013228,0,7.3299999237,1.75,0,6.1125087738,-100000,-100000,0,1
305074000000,37,305074000000,,1.4872876463,0.1892817972,0,7.3299999237,1.75,0,6.0475721359,-100000,-100000,0,1
305173000000,38,305173000000,,1.531073668,0.1997193438,0,7.3299999237,1.75,0,6.0025758743,-100000,-100000,0,1
305274000000,39,305274000000,,1.574920014,0.2099446195,0,7.3299999237,1.75,0,5.957575798,-100000,-100000,0,1
305376000000,40,305376000000,,1.623707331,0.2209743165,0,7.3299999237,1.75,0,5.9075965881,-100000,-100000,0,1
305478000000,41,305478000000,,1.6676890491,0.230524491,0,7.3299999237,1.75,0,5.8626418114,-100000,-100000,0,1
305573000000,42,305573000000,,1.7118255388,0.2395982273,0,7.3299999237,1.75,0,5.8176627159,-100000,-100000,0,1
305673000000,43,305673000000,,1.7659807525,0.2497101655,0,7.3299999237,1.75,0,5.762740612,-100000,-100000,0,1
305773000000,44,305773000000,,1.8300160656,0.2600214218,0,7.3299999237,1.75,0,5.6982331276,-100000,-100000,0,1
305873000000,45,305873000000,,1.8745539497,0.2665607936,0,7.3299999237,1.75,0,5.6535372734,-100000,-100000,0,1
305973000000,46,305973000000,,1.9141793546,0.2722093364,0,7.3299999237,1.75,0,5.613820076,-100000,-100000,0,1
306074000000,47,306074000000,,1.9736518322,0.280536051,0,7.3299999237,1.75,0,5.5542588234,-100000,-100000,0,1
306174000000,48,306174000000,,2.0133319744,0.2858979021,0,7.3299999237,1.75,0,5.5145764351,-100000,-100000,0,1
306274000000,49,306274000000,,2.0670757778,0.2929727362,0,7.3299999237,1.75,0,5.4608883858,-100000,-100000,0,1
306373000000,50,306373000000,,2.1264832158,0.3007937226,0,7.3299999237,1.75,0,5.4015541077,-100000,-100000,0,1
306473000000,51,306473000000,,2.1662300418,0.3060096165,0,7.3299999237,1.75,0,5.3618679047,-100000,-100000,0,1
306573000000,52,306573000000,,2.2208251229,0.3129199298,0,7.3299999237,1.75,0,5.3074350357,-100000,-100000,0,1
306673000000,53,306673000000,,2.2605562105,0.317693054,0,7.3299999237,1.75,0,5.2678995132,-100000,-100000,0,1
306774000000,54,306774000000,,2.3151722149,0.3241063221,0,7.3299999237,1.75,0,5.2136044502,-100000,-100000,0,1
306873000000,55,306873000000,,2.3745127651,0.3311163248,0,7.3299999237,1.75,0,5.1546177864,-100000,-100000,0,1
306973000000,56,306973000000,,2.4229270251,0.3367700418,0,7.3299999237,1.75,0,5.1065235138,-100000,-100000,0,1
307073000000,57,307073000000,,2.4676412837,0.3416916605,0,7.3299999237,1.75,0,5.0621991158,-100000,-100000,0,1
307173000000,58,307173000000,,2.5173550684,0.3470214841,0,7.3299999237,1.75,0,5.0129733086,-100000,-100000,0,1
307275000000,59,307275000000,,2.5570056558,0.351539179,0,7.3299999237,1.75,0,4.9736471176,-100000,-100000,0,1
307376000000,60,307376000000,,2.6113342383,0.3585667778,0,7.3299999237,1.75,0,4.9195418358,-100000,-100000,0,1
307473000000,61,307473000000,,2.6508339304,0.3642871,0,7.3299999237,1.75,0,4.8800401688,-100000,-100000,0,1
